TCGA-TS-A7P1-01A-41D-A39R-32	TCGA-SC-A6LP-01A-11D-A34C-32	TCGA-TS-A8AS-01A-21D-A39R-32	TCGA-XT-AASU-01A-11D-A39R-32	TCGA-3U-A98J-01A-11D-A39R-32	TCGA-SH-A7BH-01A-11D-A34C-32	TCGA-TS-A7OU-01B-11D-A39R-32	TCGA-SH-A9CT-01A-11D-A39R-32	TCGA-MQ-A4LJ-01A-11D-A34C-32	TCGA-LK-A4O2-01A-11D-A34C-32	TCGA-3H-AB3M-01A-11D-A39R-32	TCGA-TS-A7P6-01A-21D-A34C-32	TCGA-LK-A4O6-01A-11D-A34C-32	TCGA-MQ-A6BL-01A-11D-A34C-32	TCGA-YS-AA4M-01A-11D-A39R-32	TCGA-UT-A88D-01B-11D-A39R-32	TCGA-TS-A8AI-01A-11D-A39R-32	TCGA-SC-A6LR-01A-11D-A34C-32	TCGA-TS-A7P8-01A-11D-A34C-32	TCGA-UT-A88C-01B-11D-A39R-32	TCGA-MQ-A6BQ-01A-11D-A34C-32	TCGA-LK-A4NZ-01A-12D-A34C-32	TCGA-3H-AB3K-01A-11D-A39R-32	TCGA-UT-A88E-01B-11D-A39R-32	TCGA-TS-A7P0-01A-11D-A34C-32	TCGA-TS-A7OZ-01A-21D-A39R-32	TCGA-SC-A6LM-01A-11D-A34C-32	TCGA-SH-A7BC-01A-11D-A34C-32	TCGA-3U-A98F-01A-11D-A39R-32	TCGA-3H-AB3U-01A-21D-A39R-32	TCGA-YS-A95B-01A-11D-A39R-32	TCGA-LK-A4O5-01A-11D-A34C-32	TCGA-3U-A98H-01A-11D-A39R-32	TCGA-TS-A8AV-01A-12D-A39R-32	TCGA-SC-A6LQ-01A-11D-A34C-32	TCGA-3U-A98E-01A-11D-A39R-32	TCGA-MQ-A4KX-01A-11D-A34C-32	TCGA-ZN-A9VP-01A-11D-A39R-32	TCGA-SH-A7BD-01A-11D-A34C-32	TCGA-UT-A97Y-01A-21D-A39R-32	TCGA-MQ-A4LV-01A-11D-A34C-32	TCGA-TS-A7P3-01A-12D-A34C-32	TCGA-LK-A4NW-01A-11D-A34C-32	TCGA-UD-AAC4-01A-11D-A39R-32	TCGA-LK-A4NY-01A-11D-A34C-32	TCGA-3H-AB3S-01A-21D-A39R-32	TCGA-LK-A4O0-01A-11D-A34C-32	TCGA-UD-AAC1-01A-11D-A39R-32	TCGA-LK-A4O7-01A-11D-A34C-32	TCGA-TS-A7OY-01A-11D-A34C-32	TCGA-TS-A8AY-01A-21D-A39R-32	TCGA-SC-AA5Z-01A-21D-A39R-32	TCGA-UD-AAC7-01A-11D-A39R-32	TCGA-3H-AB3T-01A-11D-A39R-32	TCGA-MQ-A4LI-01A-11D-A34C-32	TCGA-ZN-A9VV-01A-11D-A39R-32	TCGA-UD-AABZ-01A-12D-A39R-32	TCGA-UT-A88G-01B-11D-A39R-32	TCGA-3U-A98D-01A-12D-A39R-32	TCGA-3H-AB3X-01A-11D-A39R-32	TCGA-3H-AB3L-01A-11D-A39R-32	TCGA-YS-A95C-01A-11D-A39R-32	TCGA-MQ-A4LM-01A-11D-A34C-32	TCGA-3H-AB3O-01A-11D-A39R-32	TCGA-MQ-A4LP-01A-11D-A34C-32	TCGA-3U-A98I-01A-11D-A39R-32	TCGA-NQ-A57I-01A-11D-A34C-32	TCGA-MQ-A6BS-01A-12D-A34C-32	TCGA-SC-A6LN-01A-11D-A34C-32	TCGA-NQ-A638-01A-11D-A34C-32	TCGA-ZN-A9VS-01A-11D-A39R-32	TCGA-MQ-A6BR-01A-11D-A34C-32	TCGA-MQ-A4LC-01A-31D-A34C-32	TCGA-SH-A9CU-01A-11D-A39R-32	TCGA-ZN-A9VO-01A-11D-A39R-32	TCGA-TS-A7PB-01A-11D-A34C-32	TCGA-UD-AAC5-01A-11D-A39R-32	TCGA-ZN-A9VU-01A-11D-A39R-32
DNMT3A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAP1	1	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
POLRMT	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TP53	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0
RHOA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHA3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IRF2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MED12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRD	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RUNX1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EZH2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STAG2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LATS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0
